pair_id,category,label,text_a,text_b
P1-01,synthetic,1,"peco 的 webui 前端用 React 19 加 TypeScript 构建，构建工具是 Vite。","peco 前端技术栈：React 19 + TypeScript，脚手架用 Vite。"
P1-02,synthetic,1,"Hermes 的网关服务用 systemd 管理，服务名是 hermes-gateway，unit 文件在用户目录下。","hermes-gateway 是 systemd user 级服务，unit 文件位于 ~/.config/systemd/user/。"
P1-03,synthetic,1,"用户偏好用 claude code 写前端代码，认为它写 React 组件比手工写更专业。","写 React 前端优先交给 claude code，用户觉得它的组件质量更专业。"
P1-04,synthetic,1,"peco 的记忆分三类：episodic 记事件，semantic 记事实，profile 记用户画像。","记忆三分类——episodic（事件）、semantic（事实）、profile（画像）。"
P1-05,synthetic,1,"整理流水线里 TTL 清理只删已沉淀的 episodic 条目，没被合并引用过的不删。","episodic 条目只有被 semantic 沉淀的 merged-from 引用后才会进 TTL 清理。"
P1-06,synthetic,1,"DeepSeek 的 API 兼容 OpenAI 协议，base url 是 api.deepseek.com/v1。","DeepSeek 走 OpenAI 兼容协议接入，端点地址 api.deepseek.com/v1。"
P1-07,synthetic,1,"mihomo 的混合代理端口是 7890，管理 API 在 9090 端口。","mihomo：mixed-port 7890，external controller 9090。"
P1-08,synthetic,1,"frp 服务端部署在阿里云那台机器上，frpc 从本机连过去，两端都由 systemd 拉起自启。","frp 架构：阿里云跑 frps，本地 frpc 主动连接，两端都用 systemd 自启。"
P1-09,synthetic,1,"peco 的会话快照通过 SqliteSessionPersister 落到 SQLite，按轮次边界保存。","会话持久化走 SqliteSessionPersister 写 SQLite，只在轮次边界落盘。"
P1-10,synthetic,1,"LanceDB 存记忆向量，SQLite 存控制面数据，两者物理隔离。","向量面（LanceDB）与控制面（SQLite）分开存储，物理隔离。"
P2-01,synthetic,1,"peco 记忆巩固功能目前是灰度关闭状态，enabled 默认 false。","记忆巩固保持灰度关闭（enabled=false），等阈值标定回填后再放量。"
P2-02,synthetic,1,"整理 cron 计划每 30 分钟跑一轮。","整理 cron 已上线，表达式 0 */30 * * * *，每 30 分钟一轮。"
P2-03,synthetic,1,"下一步打算给设置页加记忆整理的开关。","设置页的记忆整理开关已经加上了，含状态展示。"
P2-04,synthetic,1,"web_search 工具超时目前是 30 秒。","web_search 工具超时已从 30 秒调到 90 秒。"
P2-05,synthetic,1,"记忆沉淀当前用的模型是 deepseek-chat。","记忆沉淀模型是 deepseek-chat，temperature 固定 0。"
P2-06,synthetic,1,"MCP 配置存在工作区的配置文件里。","MCP 配置落在工作区配置文件，由 peco-server 统一加载。"
P2-07,synthetic,1,"数据盘清理后剩余空间 674G。","8 月清理 target 目录后磁盘剩余 674G，目前占用稳定。"
P2-08,synthetic,1,"整理批大小 batch_size 是 200。","整理流水线 batch_size=200，按 sort_key 降序取最近一批。"
P3-01,synthetic,1,"用户在武汉。","用户坐标武汉，时区 Asia/Shanghai，晚上十一点后一般不回消息。"
P3-02,synthetic,1,"frp 代理了 ssh 端口 10001。","frp 穿透清单：ssh→10001、n8n→8080、webui→9233。"
P3-03,synthetic,1,"peco 后端监听 9227 端口。","peco dev 模式端口：后端 9227，前端 9233，vite 代理转发。"
P3-04,synthetic,1,"小红书账号发布接口当前被限制。","小红书账号 8 月 17 起发布接口被限（-9136），解封前日报 cron 暂停。"
P3-05,synthetic,1,"知识库用 BM25 加向量做混合检索。","KB 检索是混合式：LanceDB 向量 + BM25 关键词，加权融合。"
P3-06,synthetic,1,"整理水位存在 memory_consolidation_state 表。","整理状态（last_scanned_ts / last_run_at / 统计）都落在 memory_consolidation_state 表。"
P3-07,synthetic,1,"用户的开发机是 Ubuntu。","开发机 Ubuntu（noble），内核 6.17，clang 用 17 版本避坑。"
P3-08,synthetic,1,"审计删除支持按审计行回滚。","记忆删除全部走审计 outbox：先写 pending，收口 done，支持按行 restore 回滚。"
P4-01,synthetic,1,"把记忆按语义聚类，聚类用连通分量算法。","memory consolidation 用 connected components 做语义聚类。"
P4-02,synthetic,1,"嵌入模型输出 512 维向量。","embedding 维度 512（bge-small-zh-v1.5）。"
P4-03,synthetic,1,"召回统计记录每条记忆最近被召回的时间。","memory_recall_stats 表记录 doc 级 last_recalled_at。"
P4-04,synthetic,1,"灰度开关默认关闭，放量前必须人工确认。","rollout gated：default off，需 manual sign-off 后放量。"
P4-05,synthetic,1,"水位是单调变老的追赶前沿。","watermark = monotonic catch-up frontier，只向下推进不回跳。"
P4-06,synthetic,1,"去重先影子模式跑，只记日志不真拦。","dedup shadow mode：log only，不 enforce。"
P4-07,synthetic,1,"半衰期衰减只作用于事件类记忆。","recency half-life decay applies to episodic only。"
P4-08,synthetic,1,"每轮整理最多处理三个用户。","max_users_per_round = 3。"
P5-01,synthetic,1,"评审结论：架构优先，兼容旧代码第二优先级，测试全绿是硬门。","评审定调：架构优先、测试全绿为硬门，兼容性让位。"
P5-02,synthetic,1,"记忆写入时有寒暄过滤，对话字符数低于阈值就不提取。","写入侧有 analyze_min_chars 寒暄过滤。"
P5-03,synthetic,1,"聚类里挑与簇内其他成员余弦和最大的那条当代表。","簇代表 = max cosine 中心。"
P5-04,synthetic,1,"重复删除时保留时间较新的那条。","dedup 保留较新条目。"
P5-05,synthetic,1,"整理完成后把水位回写，下一轮从新水位继续。","run_once 末尾回写水位，增量续扫。"
P5-06,synthetic,1,"审计行先挂起再收口，挂起状态的行永不清理。","audit outbox：pending 永不清。"
N1-01,synthetic,0,"计划把整理 cron 接入主流程。","整理 cron 已接入主流程并跑通首轮。"
N1-02,synthetic,0,"web_search 超时调大的方案待评审。","web_search 超时已调到 90 秒并回归通过。"
N1-03,synthetic,0,"前端 opt-in 开关还在排期。","前端 opt-in 开关已上线设置页。"
N1-04,synthetic,0,"设计文档 v0.1 待评审。","设计文档 v0.2 已按评审意见修订完成。"
N1-05,synthetic,0,"打算把嵌入模型升级到 768 维。","嵌入模型仍是 512 维的 bge-small-zh-v1.5。"
N1-06,synthetic,0,"T1 标定计划下周启动。","T1 标定已完成预标注，等待人工抽检。"
N1-07,synthetic,0,"migration 010 正在设计中。","migration 010 已合入并通过幂等回归。"
N1-08,synthetic,0,"水位推进缺陷待修复。","水位推进缺陷已修复，测试覆盖三轮追平场景。"
N1-09,synthetic,0,"准备给 dedup 加 enforce 开关。","dedup enforce 开关已就位，默认 shadow。"
N1-10,synthetic,0,"审计清理排进下个迭代。","审计清理已随 Stage 2 落地。"
N1-11,synthetic,0,"考虑给状态页加自动刷新。","状态页自动刷新已实现，30 秒一轮。"
N1-12,synthetic,0,"打算重构 recall 的重排逻辑。","recall 重排已重构完成，权重常量抽到 dedup 模块。"
N1-13,synthetic,0,"FFI 桥接方案还在调研。","FFI 桥接已选定 cxx 方案并出了 PoC。"
N1-14,synthetic,0,"缓存层优化在 backlog 里。","缓存层优化已发布，命中率提升到 92%。"
N1-15,synthetic,0,"grafana 面板准备补延迟指标。","grafana 面板延迟指标已补齐并配了告警。"
N2-01,synthetic,0,"整理 cron 当前节奏是半小时一轮。","整理 cron 改成每 15 分钟一轮。"
N2-02,synthetic,0,"整理批大小是 200。","batch_size 调到 500 试跑。"
N2-03,synthetic,0,"fetch 工具超时设 30 秒。","fetch 工具超时最终定为 90 秒。"
N2-04,synthetic,0,"recall_half_life_days 默认 30。","recall_half_life_days 调成 14 观察。"
N2-05,synthetic,0,"audit_retention_days 是 90。","审计保留期收紧到 30 天。"
N2-06,synthetic,0,"peco 后端端口 9227。","后端端口换成 9327 避免冲突。"
N2-07,synthetic,0,"检索 top_k 取 5。","检索 top_k 提到 8。"
N2-08,synthetic,0,"聚类阈值占位 0.85。","聚类阈值试到 0.78。"
N2-09,synthetic,0,"预标注并发开 8 个线程。","并发压到 4 个稳一点。"
N2-10,synthetic,0,"episodic 的 TTL 是 60 天。","TTL 缩短到 45 天。"
N2-11,synthetic,0,"标注请求失败重试 4 次。","重试上限改成 2 次。"
N2-12,synthetic,0,"上传分片 4MB。","分片改 8MB 上传更快。"
N2-13,synthetic,0,"max_users_per_round 是 3。","每轮用户上限放宽到 5。"
N2-14,synthetic,0,"召回观察期 30 天。","观察期拉长到 90 天。"
N2-15,synthetic,0,"嵌入向量维度 512。","嵌入模型换成 768 维的。"
N3-01,synthetic,0,"peco 后端框架用 Axum。","pc-agent 是基于 rig 框架的。"
N3-02,synthetic,0,"个人助手的记忆库叫 @private_memory。","developer 模板的知识库是 project_memory。"
N3-03,synthetic,0,"frps 部署在阿里云。","老的境外 VPS 现在闲置。"
N3-04,synthetic,0,"hermes-gateway 注册了 systemd 服务。","clash 也注册了 systemd 自启。"
N3-05,synthetic,0,"bge-small-zh-v1.5 是默认嵌入模型。","重排用的是 bge-reranker-base。"
N3-06,synthetic,0,"peco 主存储是 SQLite。","deepwiki-open 的后端跑在 8001 端口。"
N3-07,synthetic,0,"webui 状态管理用 Zustand。","旧项目用的是 Redux Toolkit。"
N3-08,synthetic,0,"前端测试框架是 vitest。","后端集成测试走 TestApp harness。"
N3-09,synthetic,0,"个人模板叫 personal。","最轻模板叫 minimal。"
N3-10,synthetic,0,"设计文档放在 docs/design 目录。","评测报告归档在 reports 目录。"
N3-11,synthetic,0,"嵌入推理走 fastembed。","图存储规划用 Helix。"
N3-12,synthetic,0,"整理 worker 在 peco-server 里。","cron 调度器属于 workflow 模块。"
N3-13,synthetic,0,"审计 DAO 是 memory_audit。","水位 DAO 是 memory_consolidation_state。"
N3-14,synthetic,0,"claude code 负责写前端。","codex 负责跑独立 PoC。"
N3-15,synthetic,0,"optin 表的 DAO 在 db 目录。","召回统计 DAO 是 memory_recall_stats。"
N4-01,synthetic,0,"水位推进解决存量饥饿问题。","水位不回跳保证不重复扫描。"
N4-02,synthetic,0,"审计 outbox 让误删可回滚。","审计保留期清理控制 SQLite 体积。"
N4-03,synthetic,0,"写入去重保护记忆库质量。","读路径去重重排改善召回信噪比。"
N4-04,synthetic,0,"两级门防止未授权用户被自动整理。","两级门的运行期兜底判在 plan_round 入口。"
N4-05,synthetic,0,"captured-at footer 解决合并产物时间源缺失。","captured-at 与 merged-from 的解析互不干扰。"
N4-06,synthetic,0,"TTL 清理回收存储空间。","TTL 三条件防止删掉仍被引用的记忆。"
N4-07,synthetic,0,"寒暄过滤节省提取开销。","寒暄过滤的阈值字段是 analyze_min_chars。"
N4-08,synthetic,0,"流式响应改善首字延迟。","流式路径用 StreamAssembler 累积增量。"
N4-09,synthetic,0,"轮次令牌保证快照只发生在轮次边界。","TurnBoundaryToken 是零大小的编译期证明。"
N4-10,synthetic,0,"工具双 trait 设计兼顾类型安全与对象安全。","ToolExecutor 是运行时分发接口。"
N4-11,synthetic,0,"迁移失败 fail-closed 防止半初始化。","迁移用存在性检查实现幂等。"
N4-12,synthetic,0,"嵌入批处理减少调用次数。","嵌入批大小由 EMBED_BATCH 常量控制。"
N4-13,synthetic,0,"cron 触发让整理全自动。","cron 表达式必须含秒域。"
N4-14,synthetic,0,"观察期防止统计缺失被误判为无召回。","观察期默认 30 天。"
N4-15,synthetic,0,"SSE 断线只影响桥接不影响 runner。","SSE 用 keep-alive 维持长连接。"
