pair_id,category,label,text_a,text_b
P1-01,natural,1,"peco 的前端是 React 加 TypeScript 写的，构建工具选了 Vite。","peco 前端技术栈是 React 加 TypeScript，用 Vite 来构建。"
P1-02,natural,1,"Hermes 的网关是个 systemd 服务，名字叫 hermes-gateway。","hermes-gateway 这个服务由 systemd 托管，是 Hermes 的网关进程。"
P1-03,natural,1,"用户习惯把前端开发交给 claude code 做，觉得它写组件更专业。","用户认为 claude code 写 React 组件更专业，前端开发习惯交给它。"
P1-04,natural,1,"记忆分成三类：事件类的 episodic、事实类的 semantic、画像类的 profile。","记忆有三种，episodic 管事件，semantic 管事实，profile 管用户画像。"
P1-05,natural,1,"TTL 清理只处理已经被沉淀过的 episodic 条目，没有合并引用的不动。","没有被沉淀引用过的 episodic 条目不会进入 TTL 清理，只清已沉淀的。"
P1-06,natural,1,"DeepSeek 的接口兼容 OpenAI 的调用方式，地址是 api.deepseek.com。","调用 DeepSeek 可以按 OpenAI 兼容的方式，接口地址是 api.deepseek.com。"
P1-07,natural,1,"mihomo 的代理端口是 7890，管理接口在 9090 上。","mihomo 用 7890 作为代理端口，管理接口开在 9090。"
P1-08,natural,1,"frp 的服务端放在阿里云，本机跑 frpc 去连它，两边都设置了开机自启。","frp 采用阿里云做服务端，本机 frpc 主动连接，两侧都配了开机自启。"
P1-09,natural,1,"会话快照由 SqliteSessionPersister 写进 SQLite，保存时机是轮次边界。","SqliteSessionPersister 负责把会话快照写入 SQLite，每次都在轮次边界保存。"
P1-10,natural,1,"记忆向量放在 LanceDB 里，控制面数据放 SQLite，两边是分开的。","控制面数据存 SQLite，记忆向量存 LanceDB，存储是分离的。"
P1-11,natural,1,"整理流水线的第一步是按用户画像过滤候选。","候选收集阶段会先按用户画像做一层过滤，这是流水线第一步。"
P1-12,natural,1,"聚类的输入是全部候选的嵌入向量，输出是相似的分组。","把候选的嵌入向量做聚类，得到语义相似的分组作为输出。"
P1-13,natural,1,"沉淀出来的事实后面会附上来源标记，记录它合并了哪些旧条目。","合并写入的新记忆带来源标记，注明由哪些旧条目合并而来。"
P1-14,natural,1,"召回的时候会按类目加权，画像类权重最高。","召回排序里画像类目的权重是几类中最高的。"
P1-15,natural,1,"整理一轮结束后会更新水位，下一轮只看新增部分。","每轮整理完都会推进水位，下轮从新水位开始增量处理。"
P2-01,natural,1,"记忆巩固的开关现在是关着的，默认就是关闭。","记忆巩固功能默认关闭，当前没有打开。"
P2-02,natural,1,"整理任务计划每半小时执行一轮。","整理任务的执行节奏是每 30 分钟一轮。"
P2-03,natural,1,"设置页面马上要加一个记忆整理的开关。","记忆整理的开关界面即将加到设置页里。"
P2-04,natural,1,"记忆沉淀用的模型是 deepseek-chat。","deepseek-chat 是记忆沉淀所使用的模型。"
P2-05,natural,1,"整理一次最多处理两百条候选。","单次整理的候选上限设定为两百条。"
P2-06,natural,1,"审计记录要保留三个月再清理。","审计记录的保留期限是九十天。"
P2-07,natural,1,"整理的时候每次最多挑三个用户来跑。","一轮整理处理的用户数量上限是三个。"
P2-08,natural,1,"事件类记忆保留两个月就清理。","episodic 记忆的保存期限是两个月，到期清理。"
P2-09,natural,1,"召回统计会记下每条记忆最近一次被用到的时间。","每条记忆最近被召回的时间都会记进召回统计里。"
P2-10,natural,1,"观察期设的是一个月，期间不清理没被召回过的记忆。","没被召回过的记忆要过一个月观察期才会被清理。"
P3-01,natural,1,"用户人在武汉。","用户位于武汉。"
P3-02,natural,1,"frp 把本机的 ssh 映射到了外网 10001 端口。","通过 frp 可以从外网 10001 端口连到本机 ssh。"
P3-03,natural,1,"peco 后端跑在 9227 端口。","peco 的后端服务监听 9227。"
P3-04,natural,1,"小红书的发布接口目前被平台限制着。","小红书平台限制了发布接口，目前不可用。"
P3-05,natural,1,"知识库检索同时用了关键词和向量两种方式。","检索是关键词加向量的混合模式。"
P3-06,natural,1,"整理的水位数据保存在一张专门的状态表里。","有一个专门的状态表负责存放整理的水位信息。"
P3-07,natural,1,"用户的开发机装的是 Ubuntu 系统。","开发机操作系统是 Ubuntu。"
P3-08,natural,1,"记忆删除都有审计记录，能按记录恢复。","每一条记忆删除都留了审计，可以按审计恢复。"
P3-09,natural,1,"前端的状态管理选了 Zustand。","Zustand 是 webui 的状态管理库。"
P3-10,natural,1,"嵌入模型用的是 bge 的中文 small 版本。","当前嵌入模型是 bge-small 的中文版。"
P4-01,natural,1,"整理的聚类用的是连通分量算法。","聚类阶段采用连通分量的算法来做。"
P4-02,natural,1,"嵌入向量是 512 维的。","每条记忆嵌入后是 512 维向量。"
P4-03,natural,1,"灰度开关默认关闭，放量前要人工确认。","放量前必须经过人工确认，灰度开关默认是关的。"
P4-04,natural,1,"水位只会变老不会回跳，这样不会重复扫描。","水位设计成单调变老，保证不会重复扫描。"
P4-05,natural,1,"去重先开影子模式，只记日志不真正拦截。","影子模式下的去重只记日志，不做真实拦截。"
P4-06,natural,1,"时间衰减只作用于事件类记忆。","只有事件类记忆才做时间衰减。"
P4-07,natural,1,"迁移用了存在性检查所以可以重复执行。","因为做了存在性检查，迁移可以安全地重复跑。"
P4-08,natural,1,"审计没写完之前删除不能算完成。","删除操作要等审计收口之后才算真正完成。"
P4-09,natural,1,"聚成一组的条件是相似度超过阈值。","相似度超过阈值才会被聚到同一组。"
P4-10,natural,1,"嵌入是分批做的，每批六十四条。","嵌入请求按每批六十四条分批发送。"
P5-01,natural,1,"评审定调架构优先，测试全绿是硬性要求。","评审明确了架构优先的原则，测试全绿是硬性要求。"
P5-02,natural,1,"对话太短就不做记忆提取，避免记下寒暄。","为了避免把寒暄记进去，对话过短就不提取记忆。"
P5-03,natural,1,"每组的代表是组内和其他成员最相似的那条。","组内与其他成员相似度最高的那条作为代表。"
P5-04,natural,1,"删重复的时候留下时间新的那条。","出现重复时保留时间上更新的那条。"
P5-05,natural,1,"审计行先记为挂起，处理完才改成完成。","审计记录先处于挂起状态，处理完成后标记完成。"
P5-06,natural,1,"合并前要让大模型判断这组是不是真的在说同一件事。","聚类结果先交给大模型确认是同一件事，才做合并。"
P5-07,natural,1,"手动触发的整理不需要检查用户开关。","用户主动发起整理时，不走 opt-in 检查。"
P5-08,natural,1,"cron 注册之前要先看总开关是不是打开的。","总开关关闭时 cron 任务不会注册。"
N1-01,natural,0,"计划把整理 cron 接入主流程。","整理 cron 已接入主流程并跑通了首轮。"
N1-02,natural,0,"web_search 超时调大的方案还在评审。","web_search 超时已调到 90 秒，回归测试通过。"
N1-03,natural,0,"前端 opt-in 开关还在排期。","前端 opt-in 开关已经上线到设置页。"
N1-04,natural,0,"设计文档 v0.1 还没送评审。","设计文档 v0.2 按评审意见改完了。"
N1-05,natural,0,"打算把嵌入模型升级到 768 维。","嵌入模型仍是 512 维的 bge-small-zh-v1.5。"
N1-06,natural,0,"T1 标定计划下周启动。","T1 标定已完成预标注，正等人工抽检。"
N1-07,natural,0,"migration 010 还在设计阶段。","migration 010 已合入并通过幂等回归。"
N1-08,natural,0,"水位推进的缺陷还没修。","水位推进缺陷已修复，补了三轮追平的测试。"
N1-09,natural,0,"审计清理排进了下个迭代。","审计清理已经随 Stage 2 落地了。"
N1-10,natural,0,"状态页的自动刷新还在考虑。","状态页自动刷新已实现，每 30 秒一轮。"
N1-11,natural,0,"recall 的重排逻辑准备重构。","recall 重排已重构完成，权重常量抽到了 dedup 模块。"
N1-12,natural,0,"FFI 桥接还在调研方案。","FFI 桥接定了 cxx 方案，PoC 也跑通了。"
N1-13,natural,0,"缓存层优化还在 backlog 里。","缓存层优化已发布，命中率到了 92%。"
N1-14,natural,0,"grafana 面板准备补延迟指标。","grafana 面板的延迟指标已补齐，还配了告警。"
N1-15,natural,0,"dev-log 打算明天补写。","dev-log 已经写完并归档到 docs 目录。"
N2-01,natural,0,"用户最近在研究 Rust 的宏编程。","用户最近在研究 WebAssembly 的前端应用。"
N2-02,natural,0,"peco 的记忆召回走混合检索。","peco 的会话导出支持 markdown 和 json 两种格式。"
N2-03,natural,0,"整理 worker 的日志级别是 info。","整理 worker 的指标已接入 grafana 面板。"
N2-04,natural,0,"frp 的安全组是全开的。","frp 的 token 上个月刚轮换过。"
N2-05,natural,0,"知识库支持按 agent 白名单控制访问。","知识库的同步是手动触发的。"
N2-06,natural,0,"工作流引擎支持并行步骤。","工作流引擎的失败策略默认是中止。"
N2-07,natural,0,"会话支持并发输入的中断优先。","会话的回滚会丢弃整个 staging 缓冲。"
N2-08,natural,0,"嵌入模型支持中文效果最好的是 bge 系列。","嵌入模型换成英文场景要用另一套。"
N2-09,natural,0,"整理的候选来自事件和事实两类。","整理的产出只写入事实类记忆。"
N2-10,natural,0,"记忆删除要经过审计。","记忆恢复要按审计行逐条操作。"
N2-11,natural,0,"provider 配置支持运行时热更新。","provider 配置的错误会导致 agent 启动失败。"
N2-12,natural,0,"claude code 的会话可以恢复。","claude code 的权限模式默认要确认。"
N2-13,natural,0,"飞书消息支持 markdown 渲染。","飞书消息可以带媒体附件。"
N2-14,natural,0,"日报 cron 每天上午十点跑。","日报内容是当天的热门 AI 新闻。"
N2-15,natural,0,"预标注用的模型是 deepseek-chat。","预标注的口径是合并后信息无损。"
N3-01,natural,0,"整理批次的上限是两百条。","整理一轮最多处理三个用户。"
N3-02,natural,0,"审计记录保留九十天。","审计记录的清理放在水位回写之前。"
N3-03,natural,0,"召回排序要乘类目权重。","召回排序还要乘时间衰减因子。"
N3-04,natural,0,"聚类阈值决定分组粒度。","去重阈值决定硬删除的门槛。"
N3-05,natural,0,"观察期统计的是条目年龄。","观察期只在没有召回记录时才生效。"
N3-06,natural,0,"水位存的是上次扫描位置。","水位存的是上次运行时间。"
N3-07,natural,0,"去重开关在整合配置里。","半衰期参数在记忆配置里。"
N3-08,natural,0,"captured-at 记录的是写入时刻。","merged-from 记录的是来源列表。"
N3-09,natural,0,"TTL 清理针对事件类记忆。","硬删除针对聚类内的重复条目。"
N3-10,natural,0,"光标回写发生在流水线最后一步。","审计清理发生在 TTL 清理之后。"
N3-11,natural,0,"opt-in 表的主键是用户 id。","召回统计表的主键是文档 id。"
N3-12,natural,0,"服务器开关在配置文件里。","用户开关在数据库表里。"
N3-13,natural,0,"沉淀写入由 worker 完成。","手动写入由用户通过对话完成。"
N3-14,natural,0,"手动触发返回 202 状态码。","手动触发在总开关关闭时返回禁用提示。"
N3-15,natural,0,"状态接口返回上次运行时间。","状态接口返回上次运行的统计数字。"
N4-01,natural,0,"用户对 A 股科技股感兴趣，持有多只相关标的。","用户对科幻电影很感兴趣，收藏了不少经典片。"
N4-02,natural,0,"peco 的设计文档写了记忆巩固的完整方案。","peco 的 backlog 记录了尚未实施的整理事项。"
N4-03,natural,0,"systemd 服务要设置 linger 才能脱离登录会话存活。","systemd 的重启策略支持渐进式退避。"
N4-04,natural,0,"React 19 带来了新的并发特性。","Vite 的开发服务器以热更新快著称。"
N4-05,natural,0,"SQLite 是单文件的嵌入式数据库。","LanceDB 是面向向量的专用存储。"
N4-06,natural,0,"武汉的夏天非常炎热。","武汉的高铁到广州大约四小时。"
N4-07,natural,0,"美股科技板块今年波动加大。","港股科技板块的流动性相对偏低。"
N4-08,natural,0,"Rust 的所有权模型避免了数据竞争。","Rust 的生命周期标注描述引用的有效范围。"
N4-09,natural,0,"动漫里宫崎骏的作品偏治愈系。","科幻片里诺兰的作品偏烧脑系。"
N4-10,natural,0,"后端接口用 JWT 做认证。","后端接口的错误统一走 ApiError。"
N4-11,natural,0,"聚类预览帮助人工标注聚焦。","聚类阈值来自标定报告的回填。"
N4-12,natural,0,"候选窗口由 backlog 和 fresh 两部分组成。","候选窗口的大小由 batch_size 决定。"
N4-13,natural,0,"嵌入向量用于语义相似度计算。","嵌入向量用于向量库的索引写入。"
N4-14,natural,0,"审计恢复的前提是审计行存在。","审计恢复的前提是原文内容可还原。"
